City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
343,oneonta,42.4529,-75.0638,64.31,69,0,11.39,US,1667831170
344,caravelas,-17.7125,-39.2481,79.14,53,100,10.07,BR,1667831170
345,arroyo,41.6096,-4.7969,57.15,75,20,4.61,ES,1667831170
346,labuhan,-6.8844,112.2051,80.83,78,100,1.05,ID,1667831171
347,mbekenyera,-10.0,38.9833,87.53,34,50,13.8,TZ,1667831171
348,prince rupert,54.3161,-130.3201,28.09,49,0,23.02,CA,1667830982
349,neiafu,-18.65,-173.9833,74.08,88,40,5.75,TO,1667831171
350,shaoyang,27.2315,111.4525,65.86,55,0,4.99,CN,1667831172
351,agadir,30.4202,-9.5982,84.65,35,3,7.83,MA,1667831172
352,severo-yeniseyskiy,60.3725,93.0408,20.03,95,100,6.96,RU,1667830588
353,grindavik,63.8424,-22.4338,41.47,81,75,6.91,IS,1667831172
354,kabalo,-6.05,26.9167,86.68,46,100,1.14,CD,1667831173
355,namatanai,-3.6667,152.4333,80.55,79,100,1.83,PG,1667831173
356,koscian,52.0883,16.6487,55.9,68,8,10.74,PL,1667831173
357,kirn,49.7833,7.45,56.17,83,100,11.48,DE,1667831174
358,stornoway,58.2093,-6.3865,53.92,88,75,12.66,GB,1667831174
359,tougue,11.4667,-11.6,86.74,33,68,7.52,GN,1667831174
360,lucea,18.451,-78.1736,84.06,67,6,2.91,JM,1667831174
361,brae,60.3964,-1.353,51.15,87,70,17.83,GB,1667831175
362,drumheller,51.4617,-112.7101,7.93,85,100,2.3,CA,1667831151
363,kyshtovka,56.555,76.6271,27.7,94,100,2.77,RU,1667831175
364,lahij,13.1667,44.5833,80.87,55,8,12.57,YE,1667831176
365,panama city,8.9936,-79.5197,81.18,86,40,12.66,PA,1667830914
366,sitka,57.0531,-135.33,23.34,47,0,10.27,US,1667831176
367,cumana,10.4635,-64.1775,84.22,63,87,1.59,VE,1667831176
368,devils lake,48.1128,-98.8651,15.94,89,0,5.75,US,1667831177
369,price,39.5994,-110.8107,42.06,65,0,9.22,US,1667831177
370,trairi,-3.2778,-39.2689,86.34,59,82,14.56,BR,1667831058
371,ciudad bolivar,8.1222,-63.5497,87.12,59,32,2.3,VE,1667831177
372,mantua,45.1667,10.7833,63.55,56,29,1.99,IT,1667831178
373,kizema,61.113,44.8302,33.01,92,100,7.7,RU,1667831178
374,katsuura,35.1333,140.3,62.33,88,74,10.6,JP,1667831178
375,san quintin,30.4833,-115.95,60.3,87,100,10.13,MX,1667831179
376,norman wells,65.282,-126.8329,-2.16,84,40,4.61,CA,1667831179
377,akyab,20.15,92.9,79.36,75,12,10.07,MM,1667831179
378,yenagoa,4.9247,6.2642,93.18,42,100,3.18,NG,1667831180
379,lorengau,-2.0226,147.2712,82.53,76,54,4.7,PG,1667831180
380,witu,-2.3889,40.4382,82.56,65,92,11.05,KE,1667831181
381,san patricio,28.017,-97.5169,80.46,86,0,8.39,US,1667831181
382,moyale,3.5167,39.0584,78.17,49,100,11.27,KE,1667831181
383,kodiak,57.79,-152.4072,36.91,70,100,14.97,US,1667831181
384,namuac,18.6109,121.1657,78.22,88,53,13.76,PH,1667831182
385,tutoia,-2.7619,-42.2744,84.76,65,97,12.21,BR,1667831182
386,manzhouli,49.6,117.4333,23.77,84,100,3.0,CN,1667831182
387,el alto,-4.2714,-81.2147,65.86,74,1,2.95,PE,1667831183
388,lagunas,-5.2269,-75.6753,88.5,47,4,1.05,PE,1667831183
389,narsaq,60.9167,-46.05,32.22,92,97,3.38,GL,1667831183
390,vostok,46.4856,135.8833,31.51,79,100,3.78,RU,1667831184
391,kansanshi,-12.0951,26.4273,69.51,70,100,2.28,ZM,1667831184
392,vaxjo,56.8777,14.8091,50.05,95,75,13.8,SE,1667831184
393,bairiki,1.3292,172.9752,77.0,83,20,3.44,KI,1667831185
394,hinton,53.4001,-117.5857,-1.59,97,100,6.08,CA,1667831185
395,xingyi,24.1877,102.817,52.66,75,12,1.61,CN,1667831185
396,iskateley,67.6803,53.1512,29.66,97,100,13.15,RU,1667831186
397,kruisfontein,-34.0033,24.7314,71.89,60,100,18.63,ZA,1667831186
398,port macquarie,-31.4333,152.9167,60.69,94,75,0.0,AU,1667831170
399,nicoya,10.1483,-85.452,76.44,90,97,1.39,CR,1667831186
400,walvis bay,-22.9575,14.5053,69.1,62,38,10.58,NA,1667831187
401,mabaruma,8.2,-59.7833,81.12,88,75,2.86,GY,1667831187
402,estancia,-11.2683,-37.4383,83.55,54,99,10.47,BR,1667831188
403,kerema,-7.9631,145.7785,78.26,87,66,3.71,PG,1667831188
